ghi,ebh,dni,dhi,cloud_opacity,pv_estimate
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,2,12,4,0,0.01
41,14,84,26,0,0.055
108,62,367,45,0,0.075
183,128,592,55,0,0.074
254,195,682,59,0,0.063
318,258,741,59,0,0.052
367,296,767,72,0,0.069
410,347,805,62,0,0.083
433,374,817,59,0,0.079
444,376,818,68,0,0.099
440,368,812,71,0,0.09
423,360,795,62,0,0.03
389,331,768,57,0,0.02
343,281,728,62,0,0.022
285,227,671,56,0,0.02
216,165,586,52,0,0.022
142,101,460,41,0,0.02
59,22,133,37,13,0.028
16,5,26,12,0,0.01
1,1,3,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5,2,8,3,2,0.003
30,6,38,24,18,0.02
73,17,98,56,27,0.045
120,27,125,94,29,0.097
128,17,67,111,45,0.129
135,9,28,127,55,0.156
115,2,8,112,67,0.128
218,26,68,192,45,0.199
191,12,30,179,54,0.176
112,2,4,110,74,0.084
150,4,10,146,64,0.094
230,50,129,179,44,0.081
213,27,74,186,43,0.059
211,60,183,151,35,0.021
275,210,617,65,0,0.002
